timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
2022-12-01,7.67300000,7.81200000,7.44100000,7.68100000,7617442.30000000,2022-12-01 23:59:59.999,57997359.00621000,134924,3632436.65000000,27664124.62554000,0
2022-12-02,7.68100000,7.72600000,7.47900000,7.61000000,5062435.56000000,2022-12-02 23:59:59.999,38484351.50250000,104325,2521866.31000000,19177792.45132000,0
2022-12-03,7.61100000,7.63300000,7.20700000,7.23500000,3708734.40000000,2022-12-03 23:59:59.999,27484803.09496000,67054,1753928.50000000,13002558.18173000,0
2022-12-04,7.23800000,7.47000000,7.18500000,7.44400000,3401151.78000000,2022-12-04 23:59:59.999,24955057.75554000,67238,1704289.61000000,12506461.25508000,0
2022-12-05,7.44200000,7.59400000,7.16000000,7.27500000,5610549.45000000,2022-12-05 23:59:59.999,41707402.26287000,100862,2572124.02000000,19137845.03937000,0
2022-12-06,7.27500000,7.33600000,6.95700000,7.13200000,5417019.69000000,2022-12-06 23:59:59.999,38902423.36086000,97867,2537954.79000000,18217509.70091000,0
2022-12-07,7.13200000,7.15800000,6.77000000,6.88100000,4586810.78000000,2022-12-07 23:59:59.999,31650320.09270000,75523,2173612.92000000,15002845.51644000,0
2022-12-08,6.88100000,7.06900000,6.77500000,7.00000000,3737485.32000000,2022-12-08 23:59:59.999,25863736.07694000,61791,1774345.78000000,12276607.43854000,0
2022-12-09,7.00100000,7.05400000,6.79600000,6.86300000,3053488.23000000,2022-12-09 23:59:59.999,21194713.01702000,48581,1425466.76000000,9902893.62356000,0
2022-12-10,6.86300000,6.92100000,6.69400000,6.85800000,2430271.44000000,2022-12-10 23:59:59.999,16610861.42092000,43053,1093400.46000000,7476451.29901000,0
2022-12-11,6.85700000,6.96000000,6.64600000,6.70000000,2014728.27000000,2022-12-11 23:59:59.999,13753519.50922000,41176,961119.63000000,6564480.82945000,0
2022-12-12,6.69800000,6.72800000,6.45700000,6.70100000,3916237.64000000,2022-12-12 23:59:59.999,25899772.45907000,67608,1805091.34000000,11944060.77553000,0
2022-12-13,6.70200000,7.10100000,6.46600000,6.92600000,6912945.43000000,2022-12-13 23:59:59.999,47049528.39863000,116158,3373482.40000000,22968959.65211000,0
2022-12-14,6.92600000,6.96500000,6.68700000,6.71800000,3469806.01000000,2022-12-14 23:59:59.999,23701361.48376000,69321,1654715.68000000,11309493.18452000,0
2022-12-15,6.71900000,6.73200000,6.38600000,6.45600000,4035740.38000000,2022-12-15 23:59:59.999,26485632.78609000,64051,1700622.37000000,11161670.08083000,0
2022-12-16,6.45600000,6.54300000,5.77800000,5.89300000,6985610.00000000,2022-12-16 23:59:59.999,42799427.82887000,125924,3211992.04000000,19675132.75218000,0
2022-12-17,5.89200000,6.06700000,5.78900000,6.03000000,4125251.26000000,2022-12-17 23:59:59.999,24567920.30177000,63489,2042000.05000000,12163982.96139000,0
2022-12-18,6.03000000,6.06400000,5.91400000,5.94900000,2206062.25000000,2022-12-18 23:59:59.999,13226533.47215000,38057,1099997.56000000,6595835.17156000,0
2022-12-19,5.95000000,6.06600000,5.67100000,5.79000000,4022803.84000000,2022-12-19 23:59:59.999,23787722.11608000,73506,1899185.51000000,11247438.36847000,0
2022-12-20,5.78900000,6.12000000,5.75200000,6.01300000,3550497.69000000,2022-12-20 23:59:59.999,21314539.93941000,62667,1760654.11000000,10566513.26298000,0
2022-12-21,6.01400000,6.04400000,5.88500000,5.98900000,2101320.78000000,2022-12-21 23:59:59.999,12505987.81068000,39051,966000.83000000,5749011.10183000,0
2022-12-22,5.98800000,6.04000000,5.85600000,6.00500000,2921902.73000000,2022-12-22 23:59:59.999,17402389.15747000,48265,1424919.14000000,8489506.57898000,0
2022-12-23,6.00500000,6.05300000,5.92400000,5.94100000,2227204.91000000,2022-12-23 23:59:59.999,13360754.86452000,39732,1120076.98000000,6718962.19768000,0
2022-12-24,5.94000000,5.96200000,5.88000000,5.91600000,1051133.66000000,2022-12-24 23:59:59.999,6223708.58438000,22058,504486.42000000,2987091.71396000,0
2022-12-25,5.91500000,5.99600000,5.88700000,5.99000000,1728090.48000000,2022-12-25 23:59:59.999,10247507.22446000,29272,804099.81000000,4769538.34631000,0
2022-12-26,5.98900000,6.04800000,5.94000000,6.04800000,1779029.19000000,2022-12-26 23:59:59.999,10661498.31252000,31473,923449.13000000,5534565.14955000,0
2022-12-27,6.04800000,6.06800000,5.84600000,5.90300000,2483617.20000000,2022-12-27 23:59:59.999,14783476.51445000,39111,1088649.01000000,6476705.28416000,0
2022-12-28,5.90500000,5.91300000,5.62500000,5.67500000,3313018.41000000,2022-12-28 23:59:59.999,19035813.77013000,55230,1520625.33000000,8737114.55086000,0
2022-12-29,5.67600000,5.73100000,5.50000000,5.60100000,3568750.37000000,2022-12-29 23:59:59.999,20058605.66270000,53472,1619943.92000000,9102471.49163000,0
2022-12-30,5.60000000,5.64200000,5.41300000,5.47500000,3416846.41000000,2022-12-30 23:59:59.999,18768827.17925000,57222,1634556.34000000,8978823.03526000,0
2022-12-31,5.47500000,5.62700000,5.38700000,5.57500000,2312337.82000000,2022-12-31 23:59:59.999,12746327.87999000,34599,1183375.17000000,6518819.56336000,0
